_id,authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],authors[7],authors[8],authors[9],authors[10]
61853fd7fa16bf28b422b42e,5050276793730464,20612862870327908,6045838202930374,8478228443890843,,,,,,,
6193b467e5a939b6fce9de93,22850500618628944,7074585794886776,6545332055051722,6002089454110722,20612862870327908,6045838202930374,,,,,
61e59451ac76c1995bc61613,3447130181319171,6754869437635602,22850500618628944,15536678264030734,,,,,,,
61eacdf67752d017a2c3af0c,9952605032979578,,,,,,,,,,
6200fe70f822e606e42f86ca,35263855878154104,9366300691646798,,,,,,,,,
6287789f74aa156c23683a56,8086983258413978,,,,,,,,,,
62947ddc81f86b7fcd8187d4,5743350997943186,,,,,,,,,,
62e9326da92e3ef6a4bedb31,6545332055051722,,,,,,,,,,
62eba27673678e395950bbb5,3958992602410847,,,,,,,,,,
631f01a2ed1bb50cb0a3fb6d,5952371571495021,,,,,,,,,,
632d7424472a42a4c4216b96,10980951662441020,9880081586337376,26626256228951916,6522778556424882,10257793401282944,,,,,,
635120625225f979028fdb60,5785134142012602,,,,,,,,,,
6363b95d6ca84a35c6345803,6545332055051722,,,,,,,,,,
637616c54a86282de6066469,6045443479572807,2636573097783761,1256293610458019,,,,,,,,
63944d906cbd8b62c3c3e608,6886743909193229,6289260114034441,,,,,,,,,
63987632ea033674774a8241,1804115419174801,,,,,,,,,,
63bd52a6dea58b49930c553e,931921580120312,29901060748384368,8333718410783868,,,,,,,,
640b5391ec9fa35e6fdca35e,48213340640960944,,,,,,,,,,
64786e1c1849390c78408c39,3494677945686900,,,,,,,,,,
6479e0519b13ca84b491e5d7,1273393614397884,,,,,,,,,,
64881e635d846cf02374059d,4819572610828424,22850500618628944,801473180410982,38200905723128264,28049585664407584,,,,,,
64902a7465d72b45b43d7ac3,6958421021490282,,,,,,,,,,
64e077d7a30d4f13296b85a3,4819572610828424,22850500618628944,45328793774436904,,,,,,,,
64e0781ba30d4fffc26b8637,4819572610828424,6560059115025245,22850500618628944,45328793774436904,19380009727942692,,,,,,
64e0784da30d4fb69a6b86b5,22850500618628944,4819572610828424,45328793774436904,25849895775175512,8934257575733058,,,,,,
64e0787fa30d4f475d6b8740,22850500618628944,4819572610828424,3113481281260244,45328793774436904,,,,,,,
64e0789aa30d4f0b966b87be,4819572610828424,22850500618628944,8110282498195183,45328793774436904,9221184842798842,,,,,,
64e078cea30d4f49b86b8862,4819572610828424,22850500618628944,2603082673079984,45328793774436904,7697774540586837,,,,,,
64e07905a30d4f32176b88ef,4819572610828424,22850500618628944,45328793774436904,,,,,,,,
64e0794da30d4f8c826b898d,22850500618628944,4819572610828424,18347311717244596,45328793774436904,,,,,,,
